Chip Run Info,D:\Edoardo\1361334043edoardo_hl60_vinc_3nM_mock_vs_48h\ChipRun.bml,1361334043,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,4/24/2016 8:26:16 PM,00:51:17,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,48h_low,Unknown,1,ACTB,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A02,48h_low,Unknown,1,SP3,Test,19.3509356819213,-1,1,Pass,0.0222468576534276,82.6831541739612,999,1,ok
S96-A03,48h_low,Unknown,1,SLCO2B1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A04,48h_low,Unknown,1,RSU1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A05,48h_low,Unknown,1,IL8,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A06,48h_low,Unknown,1,FZD7,Test,18.5025592109684,-1,1,Pass,0.0222468576534276,81.8764317775233,999,1,ok
S96-A07,48h_low,Unknown,1,ACTB,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A08,48h_low,Unknown,1,SP3,Test,18.6741940117244,-1,1,Pass,0.0222468576534276,82.0533587170115,999,1,ok
S96-A09,48h_low,Unknown,1,SLCO2B1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A10,48h_low,Unknown,1,RSU1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A11,48h_low,Unknown,1,IL8,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A12,48h_low,Unknown,1,FZD7,Test,18.0480686755845,-1,1,Pass,0.0222468576534276,81.6549534916532,999,1,ok
S96-A13,48h_low,Unknown,1,ABCC4,Test,18.5285974525423,-1,1,Pass,0.0222468576534276,81.5458141778981,999,1,ok
S96-A14,48h_low,Unknown,1,YBX1,Test,10.4901689370669,-1,1,Pass,0.0222468576534276,82.9947982382364,999,1,ok
S96-A15,48h_low,Unknown,1,PRKCB,Test,25.6666672855729,-1,0.568625202525211,Fail,0.0222468576534276,70.1980214484798,999,1,miss
S96-A16,48h_low,Unknown,1,DDIT4,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A17,48h_low,Unknown,1,ABCB1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A18,48h_low,Unknown,1,LRP5,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A19,48h_low,Unknown,1,ABCC4,Test,17.9595101325247,-1,1,Pass,0.0222468576534276,81.3274917858596,999,1,ok
S96-A20,48h_low,Unknown,1,YBX1,Test,10.4744298025829,-1,1,Pass,0.0222468576534276,82.9042842157234,999,1,ok
S96-A21,48h_low,Unknown,1,PRKCB,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,miss
S96-A22,48h_low,Unknown,1,DDIT4,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S96-A23,48h_low,Unknown,1,ABCB1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
