Chip Run Info,D:\Edoardo\1361334029 10 nM vinc treated 48h\ChipRun.bml,1361334029,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,8/4/2016 5:25:44 PM,00:51:52,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,treated_low,Unknown,1,ACTB,Test,12.9179249878248,-1,0.95769199518884,Pass,0.0214762905126088,91.1934802893372,999,1,
S96-A02,treated_low,Unknown,1,SP3,Test,13.6997610763266,-1,1,Pass,0.0214762905126088,82.2363393611781,999,1,
S96-A03,treated_low,Unknown,1,SLCO2B1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A04,treated_low,Unknown,1,RSU1,Test,13.6375098267279,-1,1,Pass,0.0214762905126088,83.6584379655067,999,1,
S96-A05,treated_low,Unknown,1,IL8,Test,9.48266096606497,-1,1,Pass,0.0214762905126088,83.4471899878023,999,1,
S96-A06,treated_low,Unknown,1,FZD7,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A07,treated_low,Unknown,1,ACTB,Test,12.9404534800275,-1,0.965665576053798,Pass,0.0214762905126088,90.7738940305805,999,1,
S96-A08,treated_low,Unknown,1,SP3,Test,13.6471511764957,-1,1,Pass,0.0214762905126088,81.9151623265973,999,1,
S96-A09,treated_low,Unknown,1,SLCO2B1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A10,treated_low,Unknown,1,RSU1,Test,13.7564352624801,-1,1,Pass,0.0214762905126088,83.2789528681367,999,1,
S96-A11,treated_low,Unknown,1,IL8,Test,9.53409906528724,-1,1,Pass,0.0214762905126088,83.1998292533178,999,1,
S96-A12,treated_low,Unknown,1,FZD7,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A13,treated_low,Unknown,1,ABCC4,Test,13.7829972169131,-1,1,Pass,0.0214762905126088,81.3026111589606,999,1,
S96-A14,treated_low,Unknown,1,YBX1,Test,7.88016931895363,-1,1,Pass,0.0214762905126088,82.8654181358909,999,1,
S96-A15,treated_low,Unknown,1,PRKCB,Test,14.4524061651351,-1,1,Pass,0.0214762905126088,87.584016128143,999,1,
S96-A16,treated_low,Unknown,1,DDIT4,Test,17.8428913919563,-1,1,Pass,0.0214762905126088,88.8382058649371,999,1,
S96-A17,treated_low,Unknown,1,ABCB1,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A18,treated_low,Unknown,1,LRP5,Test,17.5120484601251,-1,1,Pass,0.0214762905126088,84.7496171134223,999,1,
S96-A19,treated_low,Unknown,1,ABCC4,Test,13.9866600278135,-1,1,Pass,0.0214762905126088,81.2090679420592,999,1,
S96-A20,treated_low,Unknown,1,YBX1,Test,7.81908144858206,-1,1,Pass,0.0214762905126088,82.7977153224853,999,1,
S96-A21,treated_low,Unknown,1,PRKCB,Test,14.3570113613095,-1,1,Pass,0.0214762905126088,87.3731916698849,999,1,
S96-A22,treated_low,Unknown,1,DDIT4,Test,18.182521601045,-1,1,Pass,0.0214762905126088,88.6098937221055,999,1,
