Chip Run Info,D:\Edoardo\1361334033 10 nM vinc untreated 48h\ChipRun.bml,1361334033,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,8/5/2016 9:08:11 AM,00:50:59,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,untreated_low,Unknown,1,ACTB,Test,12.6890813007107,0.966380531889101,Pass,0.0233967033971152,91.5617485922479,999,1,
S96-A02,untreated_low,Unknown,1,SP3,Test,13.7235957910926,1,Pass,0.0233967033971152,82.3198937074207,999,1,
S96-A03,untreated_low,Unknown,1,SLCO2B1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A04,untreated_low,Unknown,1,RSU1,Test,13.968144354353,1,Pass,0.0233967033971152,83.7751513421289,999,1,
S96-A05,untreated_low,Unknown,1,IL8,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A06,untreated_low,Unknown,1,FZD7,Test,20.5751507408473,1,Pass,0.0233967033971152,81.5950818235236,999,1,
S96-A07,untreated_low,Unknown,1,ACTB,Test,12.7938121510665,0.990362760856002,Pass,0.0233967033971152,90.8743687964057,999,1,
S96-A08,untreated_low,Unknown,1,SP3,Test,13.789162176182,1,Pass,0.0233967033971152,81.93285951953,999,1,
S96-A09,untreated_low,Unknown,1,SLCO2B1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A10,untreated_low,Unknown,1,RSU1,Test,14.0593728884583,1,Pass,0.0233967033971152,83.4044666029739,999,1,
S96-A11,untreated_low,Unknown,1,IL8,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A12,untreated_low,Unknown,1,FZD7,Test,21.8214279139898,1,Pass,0.0233967033971152,81.1871326766014,999,1,
S96-A13,untreated_low,Unknown,1,ABCC4,Test,14.1173520872505,1,Pass,0.0233967033971152,81.2947209322352,999,1,
S96-A14,untreated_low,Unknown,1,YBX1,Test,7.67145165548476,1,Pass,0.0233967033971152,82.8822688279756,999,1,
S96-A15,untreated_low,Unknown,1,PRKCB,Test,15.328179645666,1,Pass,0.0233967033971152,87.6126327082059,999,1,
S96-A16,untreated_low,Unknown,1,DDIT4,Test,16.9053974009249,1,Pass,0.0233967033971152,88.6634845831344,999,1,
S96-A17,untreated_low,Unknown,1,ABCB1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A18,untreated_low,Unknown,1,LRP5,Test,18.9614547138399,1,Pass,0.0233967033971152,84.6931524850912,999,1,
S96-A19,untreated_low,Unknown,1,ABCC4,Test,13.8996806123305,1,Pass,0.0233967033971152,81.2349190419766,999,1,
S96-A20,untreated_low,Unknown,1,YBX1,Test,7.6944840509282,1,Pass,0.0233967033971152,82.7797563194843,999,1,
S96-A21,untreated_low,Unknown,1,PRKCB,Test,15.3899390278432,1,Pass,0.0233967033971152,87.3530824077286,999,1,
S96-A22,untreated_low,Unknown,1,DDIT4,Test,16.633398241516,1,Pass,0.0233967033971152,88.5655066316681,999,1,
S96-A23,untreated_low,Unknown,1,ABCB1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A24,untreated_low,Unknown,1,LRP5,Test,18.6400199763485,1,Pass,0.0233967033971152,84.7898637113543,999,1,
S96-A25,untreated_low,Unknown,1,ABCC5,Test,16.9498050429055,1,Pass,0.0233967033971152,85.0471638227916,999,1,
S96-A26,untreated_low,Unknown,1,NFYA,Test,15.6781124447897,1,Pass,0.0233967033971152,86.1325929726718,999,1,
S96-A27,untreated_low,Unknown,1,CSK,Test,13.7687981450141,1,Pass,0.0233967033971152,86.5793917581287,999,1,
S96-A28,untreated_low,Unknown,1,SCML2,Test,15.3937142569982,1,Pass,0.0233967033971152,82.3705644611129,999,1,
S96-A29,untreated_low,Unknown,1,GAPDH,Test,8.34154778138033,1,Pass,0.0233967033971152,88.2737286826305,999,1,
S96-A30,untreated_low,Unknown,1,APCDD1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A31,untreated_low,Unknown,1,ABCC5,Test,17.0397916225377,1,Pass,0.0233967033971152,84.9173438901085,999,1,
S96-A32,untreated_low,Unknown,1,NFYA,Test,15.8136337183662,1,Pass,0.0233967033971152,86.1249430331413,999,1,
S96-A33,untreated_low,Unknown,1,CSK,Test,14.0808184348326,1,Pass,0.0233967033971152,86.4186165719231,999,1,
S96-A34,untreated_low,Unknown,1,SCML2,Test,15.2897312110614,1,Pass,0.0233967033971152,82.3546350920695,999,1,
S96-A35,untreated_low,Unknown,1,GAPDH,Test,8.45596255758313,1,Pass,0.0233967033971152,88.2233403098864,999,1,
S96-A36,untreated_low,Unknown,1,APCDD1,Test,999,0,Fail,0.0233967033971152,999,999,0,
